dataset,fold,method,objective,depth,splits,leaves,cpu_time,nb_cells,nb_subproblems,nb_recursive_calls,rf_acc,ba_acc,rf_ba_agreement
COMPAS-ProPublica,8,greedy,6,5,5,6,0.000158,32,0.0,0.0,0.6666666666666666,0.663768115942029,0.991304347826087
COMPAS-ProPublica,8,beam,7,5,6,7,0.000531,32,0.0,0.0,0.6666666666666666,0.5304347826086957,0.6289855072463768
COMPAS-ProPublica,9,dp,1,8,16,17,0.009253,512,18803.0,77959.0,0.6826086956521739,0.6768115942028986,0.9884057971014493
COMPAS-ProPublica,9,greedy,6,9,21,22,0.00072,512,0.0,0.0,0.6826086956521739,0.6768115942028986,0.9884057971014493
COMPAS-ProPublica,9,beam,7,9,25,26,0.008721,512,0.0,0.0,0.6826086956521739,0.5420289855072464,0.5811594202898551
COMPAS-ProPublica,10,dp,1,7,26,27,0.007203,512,18334.0,76795.0,0.6594202898550725,0.6507246376811594,0.8695652173913043
COMPAS-ProPublica,10,greedy,6,8,30,31,0.001123,512,0.0,0.0,0.6594202898550725,0.6507246376811594,0.8695652173913043
COMPAS-ProPublica,10,beam,7,8,31,32,0.021758,512,0.0,0.0,0.6594202898550725,0.518840579710145,0.6217391304347826
FICO,1,dp,1,5,8,9,0.000601,64,641.0,2025.0,0.7026768642447419,0.7026768642447419,0.9923518164435946
FICO,1,greedy,6,5,8,9,0.0007,64,0.0,0.0,0.7026768642447419,0.7026768642447419,0.9923518164435946
FICO,1,beam,7,5,8,9,0.001696,64,0.0,0.0,0.7026768642447419,0.4961759082217973,0.5793499043977055
FICO,2,dp,1,7,9,10,0.000732,128,1929.0,6419.0,0.5726577437858509,0.5669216061185468,0.9694072657743786
FICO,2,greedy,6,7,9,10,0.000225,128,0.0,0.0,0.5726577437858509,0.5669216061185468,0.9694072657743786
FICO,2,beam,7,7,9,10,0.00212,128,0.0,0.0,0.5726577437858509,0.6539196940726577,0.4043977055449331
FICO,3,dp,1,8,24,25,0.002636,256,6258.0,23807.0,0.6931166347992351,0.7294455066921606,0.869980879541109
FICO,3,greedy,6,8,24,25,0.000634,256,0.0,0.0,0.6931166347992351,0.7294455066921606,0.869980879541109
FICO,3,beam,7,8,25,26,0.006492,256,0.0,0.0,0.6931166347992351,0.6290630975143403,0.5478011472275335
FICO,4,dp,1,8,22,23,0.007118,512,18156.0,70293.0,0.6950286806883366,0.6606118546845124,0.9216061185468452
FICO,4,greedy,6,8,22,23,0.001404,512,0.0,0.0,0.6950286806883366,0.6606118546845124,0.9216061185468452
FICO,4,beam,7,8,22,23,0.016517,512,0.0,0.0,0.6950286806883366,0.35181644359464626,0.4024856596558317
FICO,5,dp,1,6,14,15,0.006265,512,17253.0,62915.0,0.7103250478011472,0.7141491395793499,0.9464627151051626
FICO,5,greedy,6,6,14,15,0.001342,512,0.0,0.0,0.7103250478011472,0.7141491395793499,0.9464627151051626
FICO,5,beam,7,6,14,15,0.008815,512,0.0,0.0,0.7103250478011472,0.5430210325047801,0.5669216061185468
FICO,6,dp,1,7,17,18,0.004696,512,17586.0,63605.0,0.7323135755258127,0.7323135755258127,0.9866156787762906
FICO,6,greedy,6,7,17,18,0.000996,512,0.0,0.0,0.7323135755258127,0.7323135755258127,0.9866156787762906
FICO,6,beam,7,7,17,18,0.008653,512,0.0,0.0,0.7323135755258127,0.4904397705544933,0.612810707456979
FICO,7,dp,1,6,8,9,0.000679,128,1835.0,5659.0,0.7208413001912046,0.7284894837476099,0.9923518164435946
FICO,7,greedy,6,6,8,9,0.000263,128,0.0,0.0,0.7208413001912046,0.7284894837476099,0.9923518164435946
FICO,7,beam,7,6,9,10,0.001683,128,0.0,0.0,0.7208413001912046,0.5305927342256214,0.6013384321223709
FICO,8,dp,1,8,27,28,0.007017,512,18394.0,72195.0,0.6768642447418738,0.6806883365200764,0.9770554493307839
FICO,8,greedy,6,8,27,28,0.001027,512,0.0,0.0,0.6768642447418738,0.6806883365200764,0.9770554493307839
FICO,8,beam,7,9,46,47,0.02532,512,0.0,0.0,0.6768642447418738,0.5449330783938815,0.5965583173996176
FICO,9,dp,1,5,5,6,0.000471,32,202.0,561.0,0.6902485659655831,0.6912045889101338,0.9933078393881453
FICO,9,greedy,6,5,5,6,0.000447,32,0.0,0.0,0.6902485659655831,0.6912045889101338,0.9933078393881453
FICO,9,beam,7,5,6,7,0.000835,32,0.0,0.0,0.6902485659655831,0.5258126195028681,0.6596558317399618
FICO,10,dp,1,3,3,4,0.000206,8,19.0,51.0,0.7253588516746412,0.7215311004784689,0.9904306220095693
FICO,10,greedy,6,3,3,4,0.000343,8,0.0,0.0,0.7253588516746412,0.7215311004784689,0.9904306220095693
FICO,10,beam,7,3,3,4,0.000304,8,0.0,0.0,0.7253588516746412,0.4535885167464115,0.5349282296650718
HTRU2,1,dp,1,4,5,6,9.3e-05,24,132.0,409.0,0.9782122905027933,0.976536312849162,0.9983240223463687
HTRU2,1,greedy,6,5,7,8,0.000134,24,0.0,0.0,0.9782122905027933,0.976536312849162,0.9983240223463687
HTRU2,1,beam,7,5,9,10,0.000554,24,0.0,0.0,0.9782122905027933,0.912290502793296,0.9318435754189944
HTRU2,2,dp,1,5,5,6,0.000902,32,193.0,541.0,0.9553072625698324,0.9625698324022346,0.9849162011173185
HTRU2,2,greedy,6,5,5,6,0.000853,32,0.0,0.0,0.9553072625698324,0.9625698324022346,0.9849162011173185
HTRU2,2,beam,7,5,5,6,0.001191,32,0.0,0.0,0.9553072625698324,0.8486033519553072,0.8877094972067039
HTRU2,3,dp,1,6,13,14,0.00077,96,1302.0,4395.0,0.9664804469273743,0.964804469273743,0.9983240223463687
HTRU2,3,greedy,6,6,13,14,0.000472,96,0.0,0.0,0.9664804469273743,0.964804469273743,0.9983240223463687
HTRU2,3,beam,7,7,16,17,0.001968,96,0.0,0.0,0.9664804469273743,0.8100558659217877,0.8301675977653631
HTRU2,4,dp,1,2,2,3,0.000266,4,5.0,13.0,0.982122905027933,0.982122905027933,0.9955307262569832
HTRU2,4,greedy,6,2,2,3,0.000487,4,0.0,0.0,0.982122905027933,0.982122905027933,0.9955307262569832
HTRU2,4,beam,7,2,2,3,0.000418,4,0.0,0.0,0.982122905027933,0.9022346368715084,0.9078212290502793
HTRU2,5,dp,1,6,7,8,0.001059,96,1156.0,3649.0,0.9720670391061452,0.9720670391061452,1.0
HTRU2,5,greedy,6,7,7,8,0.000595,96,0.0,0.0,0.9720670391061452,0.9720670391061452,1.0
HTRU2,5,beam,7,7,9,10,0.00148,96,0.0,0.0,0.9720670391061452,0.8770949720670391,0.8893854748603351
HTRU2,6,dp,1,5,7,8,0.000519,64,593.0,1803.0,0.9798882681564246,0.9782122905027933,0.9927374301675977
HTRU2,6,greedy,6,5,7,8,0.000261,64,0.0,0.0,0.9798882681564246,0.9782122905027933,0.9927374301675977
HTRU2,6,beam,7,5,9,10,0.001172,64,0.0,0.0,0.9798882681564246,0.9262569832402234,0.9351955307262569
HTRU2,7,dp,1,5,5,6,0.000705,32,189.0,545.0,0.970391061452514,0.9709497206703911,0.9994413407821229
HTRU2,7,greedy,6,5,5,6,0.000427,32,0.0,0.0,0.970391061452514,0.9709497206703911,0.9994413407821229
HTRU2,7,beam,7,5,5,6,0.000749,32,0.0,0.0,0.970391061452514,0.8865921787709498,0.8927374301675978
HTRU2,8,dp,1,4,4,5,0.000182,16,62.0,171.0,0.982122905027933,0.982122905027933,1.0
HTRU2,8,greedy,6,4,4,5,0.000175,16,0.0,0.0,0.982122905027933,0.982122905027933,1.0
HTRU2,8,beam,7,4,5,6,0.000298,16,0.0,0.0,0.982122905027933,0.9508379888268157,0.9452513966480447
HTRU2,9,dp,1,2,2,3,0.000256,4,5.0,13.0,0.9916154276131918,0.9921743991056456,0.9994410285075461
HTRU2,9,greedy,6,2,2,3,0.000249,4,0.0,0.0,0.9916154276131918,0.9921743991056456,0.9994410285075461
HTRU2,9,beam,7,2,2,3,0.000265,4,0.0,0.0,0.9916154276131918,0.985466741196199,0.9837898267188373
HTRU2,10,dp,1,2,2,3,0.000478,4,5.0,13.0,0.9865846841811068,0.9865846841811068,1.0
HTRU2,10,greedy,6,2,2,3,0.00055,4,0.0,0.0,0.9865846841811068,0.9865846841811068,1.0
HTRU2,10,beam,7,2,2,3,0.000465,4,0.0,0.0,0.9865846841811068,0.9849077697037452,0.980435997764114
Pima-Diabetes,1,dp,1,9,24,25,0.012785,864,41793.0,180109.0,0.7142857142857143,0.7402597402597403,0.922077922077922
Pima-Diabetes,1,greedy,6,8,24,25,0.001203,864,0.0,0.0,0.7142857142857143,0.7402597402597403,0.922077922077922
Pima-Diabetes,1,beam,7,9,29,30,0.017004,864,0.0,0.0,0.7142857142857143,0.5844155844155844,0.7402597402597403
Pima-Diabetes,2,dp,1,10,36,37,0.009245,720,37732.0,182441.0,0.7662337662337663,0.7272727272727273,0.935064935064935
Pima-Diabetes,2,greedy,6,10,50,51,0.001831,720,0.0,0.0,0.7662337662337663,0.7272727272727273,0.935064935064935
Pima-Diabetes,2,beam,7,10,53,54,0.034958,720,0.0,0.0,0.7662337662337663,0.7142857142857143,0.7662337662337663
Pima-Diabetes,3,dp,1,10,35,36,0.041848,1440,95791.0,428543.0,0.7272727272727273,0.6753246753246753,0.8961038961038961
Pima-Diabetes,3,greedy,6,10,44,45,0.002743,1440,0.0,0.0,0.7272727272727273,0.6753246753246753,0.8961038961038961
Pima-Diabetes,3,beam,7,12,58,59,0.038669,1440,0.0,0.0,0.7272727272727273,0.5584415584415584,0.7272727272727273
Pima-Diabetes,4,dp,1,9,44,45,0.02573,1080,69066.0,331243.0,0.6363636363636364,0.5974025974025974,0.9090909090909091
Pima-Diabetes,4,greedy,6,9,64,65,0.002253,1080,0.0,0.0,0.6363636363636364,0.5974025974025974,0.9090909090909091
Pima-Diabetes,4,beam,7,13,71,72,0.05733,1080,0.0,0.0,0.6363636363636364,0.6103896103896104,0.7402597402597403
Pima-Diabetes,5,dp,1,9,16,17,0.005049,480,21299.0,100757.0,0.7272727272727273,0.7792207792207793,0.948051948051948
Pima-Diabetes,5,greedy,6,9,30,31,0.000652,480,0.0,0.0,0.7272727272727273,0.7792207792207793,0.948051948051948
Pima-Diabetes,5,beam,7,7,19,20,0.005749,480,0.0,0.0,0.7272727272727273,0.6493506493506493,0.7662337662337663
Pima-Diabetes,6,dp,1,11,22,23,0.00279,320,11041.0,50691.0,0.8051948051948052,0.7922077922077922,0.987012987012987
Pima-Diabetes,6,greedy,6,9,24,25,0.00109,320,0.0,0.0,0.8051948051948052,0.7922077922077922,0.987012987012987
Pima-Diabetes,6,beam,7,8,25,26,0.005787,320,0.0,0.0,0.8051948051948052,0.6103896103896104,0.7792207792207793
Pima-Diabetes,7,dp,1,10,28,29,0.007366,576,27262.0,118279.0,0.8051948051948052,0.8051948051948052,0.8441558441558441
Pima-Diabetes,7,greedy,6,9,32,33,0.000878,576,0.0,0.0,0.8051948051948052,0.8051948051948052,0.8441558441558441
Pima-Diabetes,7,beam,7,10,31,32,0.009109,576,0.0,0.0,0.8051948051948052,0.8181818181818182,0.8051948051948052
Pima-Diabetes,8,dp,1,9,27,28,0.00249,192,3825.0,16319.0,0.7792207792207793,0.7922077922077922,0.935064935064935
Pima-Diabetes,8,greedy,6,7,27,28,0.001441,192,0.0,0.0,0.7792207792207793,0.7922077922077922,0.935064935064935
Pima-Diabetes,8,beam,7,9,35,36,0.005981,192,0.0,0.0,0.7792207792207793,0.6753246753246753,0.7922077922077922
Pima-Diabetes,9,dp,1,13,90,91,0.168216,3240,416620.0,2375853.0,0.7236842105263158,0.7236842105263158,0.9473684210526315
Pima-Diabetes,9,greedy,6,12,105,106,0.006408,3240,0.0,0.0,0.7236842105263158,0.7236842105263158,0.9473684210526315
Pima-Diabetes,9,beam,7,13,142,143,0.179933,3240,0.0,0.0,0.7236842105263158,0.6842105263157895,0.8289473684210527
Pima-Diabetes,10,dp,1,10,26,27,0.028412,1296,70132.0,328993.0,0.8026315789473685,0.7894736842105263,0.9868421052631579
Pima-Diabetes,10,greedy,6,10,35,36,0.00368,1296,0.0,0.0,0.8026315789473685,0.7894736842105263,0.9868421052631579
